"Genus","Time","Location","Zone","Current_Country","Habitat","Cranial_Capacity","Height","Incisor_Size","Jaw_Shape","Torus_Supraorbital","Prognathism","Foramen_Mágnum_Position","Canine.Size","Canines_Shape","Tooth_Enamel","Tecno","Tecno_type","biped","Arms","Foots","Diet","Sexual_Dimorphism","Hip","Vertical_Front","Anatomy","Migrated","Skeleton"
"Australopithecus Bahrelghazali",3.51,"Africa","central","Republic of Chad","mixed",396.63,126.57,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Georgicus",2.02,"Asia ","west","Georgia","savannah",644.34,146.22,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"hominino Ardipithecus ramidus / kabadda",3.88,"Africa","oriental","Ethiopia","mixed",438.3,102.44,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Australopithecus Garhi",2.93,"Africa","oriental","Ethiopia","mixed",519.19,118.67,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Rudolfensis",2.46,"Africa","oriental","Kenya","savannah",576.85,129.29,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Heidelbergensis",1.12,"Europa","central","Germany","cold forest",1277.15,168.35,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Erectus",1.85,"Asia ","west","Indonesia","savannah",989.75,169.08,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Antecesor",0.99,"Europa","west","Spain","savannah",1027.52,170.79,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"hominino Sahelanthropus tchadensis",7.36,"Africa","central","Republic of Chad","mixed",294.67,82.92,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Rodhesiensis",0.69,"Africa","oriental","Ethiopia","savannah",1195.95,148.45,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Paranthropus Robustus",2.58,"Africa","south","South Africa","jungle",482.94,123.71,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Rudolfensis",3.09,"Africa","oriental","Kenya","savannah",625.96,120.28,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Paranthropus Aethiopicus",3.13,"Africa","oriental","Kenya","forest-savanna",337.47,117.9,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Afarensis",4.27,"Africa","oriental","Kenya","mixed",344.97,133.03,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Floresiensis",0.4,"Asia ","oriental","Indonesia","peninsular",256.7,105.05,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Rodhesiensis",0.38,"Africa","oriental","Ethiopia","savannah",976.16,152.65,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Homo Georgicus",2.21,"Asia ","west","Georgia","savannah",652.94,152.95,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Sapiens",0.61,"Africa","oriental","Kenya","savannah",1240.74,165.52,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"hominino Sahelanthropus tchadensis",7,"Africa","central","Republic of Chad","mixed",120.86,84.66,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Erectus",1.3,"Asia ","west","Indonesia","savannah",951.99,155.6,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Garhi",3.18,"Africa","oriental","Ethiopia","mixed",412.31,116.05,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Ergaster",1.38,"Africa","oriental","Kenya","savannah",742.81,164.14,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.87,"Africa","oriental","Kenya","forest-gallery",378.87,115.55,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Australopithecus Garhi",2.36,"Africa","oriental","Ethiopia","mixed",270.08,118.99,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Antecesor",1.27,"Europa","west","Spain","savannah",1117.14,175.59,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Rudolfensis",3.09,"Africa","oriental","Kenya","savannah",776.11,127.13,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"hominino Ardipithecus ramidus / kabadda",4.56,"Africa","oriental","Ethiopia","mixed",176.57,101.02,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Georgicus",2.01,"Asia ","west","Georgia","savannah",603.11,140.47,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.7,"Africa","oriental","Kenya","forest-gallery",321.16,127.96,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Rudolfensis",3.08,"Africa","oriental","Kenya","savannah",777.14,138.82,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Ergaster",1.93,"Africa","oriental","Kenya","savannah",745.89,158.34,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Bahrelghazali",3.49,"Africa","central","Republic of Chad","mixed",284.43,118,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Heidelbergensis",0.75,"Europa","central","Germany","cold forest",1372.42,168.88,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Sapiens",0.81,"Africa","oriental","Kenya","savannah",1362.36,167.31,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Floresiensis",0.84,"Asia ","oriental","Indonesia","peninsular",166.35,108.03,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Georgicus",1.81,"Asia ","west","Georgia","savannah",581.46,147.05,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Antecesor",1.48,"Europa","west","Spain","savannah",1033.93,169.58,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Australopithecus Bahrelghazali",3.62,"Africa","central","Republic of Chad","mixed",354.98,123.09,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Australopithecus Africanus",4.03,"Africa","south","South Africa","forest-gallery",469.7,118.36,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Australopithecus Garhi",2.57,"Africa","oriental","Ethiopia","mixed",500.55,116.01,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Australopithecus Sediba",2.22,"Africa","south","South Africa","mixed",363.12,105.85,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Floresiensis",1,"Asia ","oriental","Indonesia","peninsular",164.83,106.73,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Naledi",0.68,"Africa","south","South Africa","jungle",490.92,137.92,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"hominino Orrorin tugenencin",6.26,"Africa","oriental","Kenya","forest",267.57,119.46,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
